uid,Licensee,DBA,License_No,Street_Address,City,ZIP,County,Category,Month,Year,Certification,source_geo,lat,long,geometry
1457,ASCEND INDUSTRIES LLC,ASCEND,404R-00224,"12001 East 33rd Avenue, Unit J",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7642807,-104.8482204,POINT (-104.8482204 39.7642807)
1575,JOY GUM LLC,,404R-00393,"12001 East 33rd Avenue, Unit K",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7642807,-104.8482204,POINT (-104.8482204 39.7642807)
1648,PHI STRATEGIES INC,,404R-00079,"11900 East 33rd Avenue, Suite 3",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7632217,-104.849558,POINT (-104.849558 39.7632217)
1677,SPHEREX INC,,404R-00145,"12001 East 33rd Avenue, Unit I",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,CENSUS,39.763874,-104.84832,POINT (-104.84832 39.763874)
1678,SPHEREX INC,SPHEREX,404R-00422,12001 East 33rd Avenue Unit E,Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7642807,-104.8482204,POINT (-104.8482204 39.7642807)
1719,WONDERLEAF LLC,WONDERLEAF,404R-00162,12001 East 33rd Avenue Unit O,Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7642807,-104.8482204,POINT (-104.8482204 39.7642807)
1853,CO DEVELOPMENT HOLDINGS INC,HOST CANNABIS COMPANY,403R-01043,3555 North Moline Street Unit A,Aurora,80010,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7657428,-104.8553233,POINT (-104.8553233 39.7657428)
1879,CRAFT INDUSTRIES INC,CRAFT CANNABIS,403R-00702,12001 East 33rd Avenue Unit T,Aurora,80010,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7642807,-104.8482204,POINT (-104.8482204 39.7642807)
1956,FAMOUS BUDS LLC,,403R-00767,"3555 Moline Street, Unit #C,",Aurora,80010,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7657428,-104.8553233,POINT (-104.8553233 39.7657428)
2070,INFUSIUM LLC,,403R-00664,"3555 Moline Street, Unit D",Aurora,80010,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.766037,-104.85472,POINT (-104.85472 39.766037)
2132,LEVEL 10 LLC,,403R-00643,"3555 Moline Street, Unit B",Aurora,80010,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.766037,-104.85472,POINT (-104.85472 39.766037)
2232,PI STRATEGIES INC,,403R-00350,"11900 East 33rd Avenue, Suite 2",Aurora,80010,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.76386,-104.84894,POINT (-104.84894 39.76386)
2555,APOGEE MANAGEMENT INC,TERRAPIN CARE STATION,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.76386,-104.84894,POINT (-104.84894 39.76386)
2803,LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00293,503 Havana Street,Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.7236037,-104.8660219,POINT (-104.8660219 39.7236037)
2960,STARBUDS AURORA LLC,STARBUDS,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,TEXAS,39.73912407,-104.8708386,POINT (-104.8708386 39.73912407)
2997,THE GREEN SOLUTION LLC,,402R-00302,"1450 Havana Street, Suites C & D",Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,TEXAS,39.7391948,-104.8655591,POINT (-104.8655591 39.7391948)
3023,TREATMENTS UNLIMITED LLC,ALTITUDE AURORA,402R-00301,10455 East Colfax Avenue,Aurora,80010,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.74028435,-104.8663621,POINT (-104.8663621 39.74028435)
1456,ARSENAL OILS & EXTRACTS LLC,,404R-00211,472 Laredo Street Unit H,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233427,-104.7996221,POINT (-104.7996221 39.7233427)
1461,BEDDOR CLAUDE LLC,CHRONIC CREATIONS,404R-00161,"482 Laredo Street, Units P, Q and R",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233431,-104.7990674,POINT (-104.7990674 39.7233431)
1471,BUD FOX ENTERPRISES LLC,,404R-00334,14896 East 38th Avenue Unit B,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7685203,-104.8149147,POINT (-104.8149147 39.7685203)
1473,CANNABIS MAXIMUS LLC,CANNABIS MAXIMUS,404R-00160,"472 Laredo Street, Unit K",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233427,-104.7996221,POINT (-104.7996221 39.7233427)
1541,GMC III LLC,,404R-00286,21000 East 32nd Parkway Suite 120,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7579034,-104.7442418,POINT (-104.7442418 39.7579034)
1562,I AND Y LLC,,404R-00205,"472 Laredo Street, Unit I",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,CENSUS,39.723392,-104.80057,POINT (-104.80057 39.723392)
1584,KIND GOODS LLC,REBEL EDIBLES,404R-00148,"462 Laredo Street, Unit F",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233423,-104.800064,POINT (-104.800064 39.7233423)
1644,PEAK 5282 LLC,MAYFLOWER FARMS,404R-00118,"13800 East Moncrieff Place, Unit B",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7656093,-104.8263784,POINT (-104.8263784 39.7656093)
1656,REVERED INC,,404R-00192,"462 Laredo Street, Unit C",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233423,-104.800064,POINT (-104.800064 39.7233423)
1694,TERRAPIN SEPARATIONS INC,LUCKY TURTLE EXTRACTS,404R-00202,"472 Laredo Street, Unit J",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233427,-104.7996221,POINT (-104.7996221 39.7233427)
1715,WEST EDISON INC,,404R-00218,"462 Laredo Street, Suite E",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7233423,-104.800064,POINT (-104.800064 39.7233423)
1729,132 ENTERPRISES LLC,KLONE,403R-00974,322 North Norfolk Unit I,Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,,,,
1788,AYA,,403R-00924,"462 Laredo Street, Unit H",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7233423,-104.800064,POINT (-104.800064 39.7233423)
1796,BEDDOR CLAUDE LLC,CHRONIC THERAPY,403R-00593,"482 Laredo Street, Units S & T",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7233431,-104.7990674,POINT (-104.7990674 39.7233431)
1819,BUD FOX ENTERPRISES LLC,,403R-00930,14896 East 38th Avenue Unit C,Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7685203,-104.8149147,POINT (-104.8149147 39.7685203)
1841,CCR II LLC,ONE FARMS,403R-00786,"21000 East 32nd Parkway, Suite 110",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7579034,-104.7442418,POINT (-104.7442418 39.7579034)
1887,D & H SERVICE LLC,,403R-00619,"462 Laredo Street, Unit I & J",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.72324,-104.80057,POINT (-104.80057 39.72324)
1901,DEBEST CONSULTING LLC,SUPER FARM,403R-00349,"482 Laredo Street, Units A-O",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7233431,-104.7990674,POINT (-104.7990674 39.7233431)
1984,GMC II LLC,,403R-00787,"21000 East 32nd Parkway, Suite 100",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7579034,-104.7442418,POINT (-104.7442418 39.7579034)
1985,GND GREEN LLC,,403R-00913,"462 Laredo Street, Unit G",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7233423,-104.800064,POINT (-104.800064 39.7233423)
2065,IGADI LTD,IGADI,403R-00472,"472 Laredo Street, Unit  A-D",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.723392,-104.80057,POINT (-104.80057 39.723392)
2095,JOSEPH ARTHUR BOTANICALS LLC,,403R-00358,"714 North Ventura Street, Bldg1 Ste B&C, Bldg 2 Ste B&C",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7274761,-104.7779791,POINT (-104.7779791 39.7274761)
2225,PEAK 5280 LLC,MAYFLOWER FARMS,403R-00477,"13800 East Moncrieff Place, Unit A",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.765854,-104.82529,POINT (-104.82529 39.765854)
2253,R AND I LLC,,403R-00877,"472 Laredo Street, Units Q,R,S,T",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.723392,-104.80057,POINT (-104.80057 39.723392)
2257,REVERED INC,,403R-00711,462 Laredo Street Units A & B,Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7233423,-104.800064,POINT (-104.800064 39.7233423)
2354,TALL TREES LLC,,403R-00876,"472 Laredo Street, Unit F & G",Aurora,80011,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7233427,-104.7996221,POINT (-104.7996221 39.7233427)
2518,3LP LLC,MINDFUL,402R-00290,19201 East Colfax Avenue,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.740257,-104.767075,POINT (-104.767075 39.740257)
2519,3LP LLC,MINDFUL,402R-00333,1401 Peoria Street,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.738837,-104.84715,POINT (-104.84715 39.738837)
2536,AJS AURORA LLC,SWEET LEAF,402R-00311,"15200 East 6th Avenue, Unit 1",Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,TEXAS,39.7251338,-104.8124113,POINT (-104.8124113 39.7251338)
2663,DRAGON PARTNERS LLC,GREEN DRAGON COLORADO,402R-00323,719 Billings Street,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.72689754,-104.8221731,POINT (-104.8221731 39.72689754)
